FECHA FACT.,FACTURA DATAICO,ORDEN DATAICO,ORDEN SIGES,VALOR SIGES,ESTADO,MOTIVO,VERIFICACION
03/06/2025 07:52:51,FEEJ42865,378,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:52:55,FEEJ42866,377,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:52:59,FEEJ42867,376,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:02,FEEJ42868,375,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:05,FEEJ42869,374,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:08,FEEJ42870,373,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:12,FEEJ42871,372,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:15,FEEJ42872,371,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:19,FEEJ42873,370,,,NO SUBIDA,VERIFICAR FECHA DE VENTA,CANASTILLA
03/06/2025 07:53:22,FEEJ42874,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:53:28,FEEJ42875,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:53:37,FEEJ42876,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:53:45,FEEJ42877,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:53:54,FEEJ42878,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:03,FEEJ42879,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:11,FEEJ42880,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:19,FEEJ42881,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:27,FEEJ42882,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:36,FEEJ42883,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:45,FEEJ42884,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:54:53,FEEJ42885,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:02,FEEJ42886,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:11,FEEJ42887,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:20,FEEJ42888,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:30,FEEJ42889,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:39,FEEJ42890,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:48,FEEJ42891,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:55:56,FEEJ42892,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:04,FEEJ42893,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:13,FEEJ42894,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:22,FEEJ42895,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:31,FEEJ42896,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:40,FEEJ42897,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:49,FEEJ42898,369,,,NO SUBIDA,REPETIDA,CANASTILLA
03/06/2025 07:56:59,FEEJ42899,369,,,NO SUBIDA,REPETIDA,CANASTILLA
